#{"t_start": 1788965827.3657796, "env_id": "None"}
r,l,t
88.97439,300,75.596102
74.05154,300,75.59643
21.435673,300,75.596461
51.2849,300,75.596481
34.39125,300,75.596498
52.24607,300,75.596513
94.86971,300,75.596528
94.212,300,75.596544
44.871822,300,145.84724
56.027306,300,145.847328
119.03705,300,145.84735
25.252764,300,145.847365
66.52121,300,145.847379
112.96325,300,145.847394
68.11036,300,145.847407
87.16239,300,145.847421
70.10788,300,219.078672
91.83332,300,219.078769
87.21809,300,219.078811
67.767845,300,219.078846
-7.75979,300,219.078877
80.93017,300,219.079141
88.442345,300,219.079179
76.70628,300,219.079189
82.119896,300,292.815574
38.34476,300,292.815636
61.21292,300,292.815655
101.261475,300,292.815667
-36.940914,300,292.815678
61.427925,300,292.81573
82.96864,300,292.815746
86.483086,300,292.815776
101.33505,300,365.616772
105.0987,300,365.616832
121.24918,300,365.616842
104.783,300,365.616851
111.32446,300,365.616858
113.902695,300,365.616865
115.91471,300,365.616872
135.82524,300,365.616879
65.86879,300,437.719459
76.816895,300,437.719529
72.97368,300,437.719553
91.84456,300,437.719572
52.417652,300,437.71959
96.53114,300,437.719608
105.025566,300,437.719626
106.730415,300,437.719643
114.318665,300,511.019907
104.22114,300,511.019961
175.86748,300,511.01997
129.0942,300,511.019978
90.07397,300,511.019984
113.0598,300,511.019991
63.591446,300,511.019998
67.015625,300,511.020005
58.796886,300,584.551872
128.106,300,584.551928
75.68722,300,584.551942
81.07875,300,584.551952
125.86784,300,584.551961
93.43305,300,584.551969
158.72751,300,584.551977
150.56848,300,584.551986
147.30582,300,659.775051
112.904976,300,659.775105
98.10157,300,659.775117
48.485256,300,659.775125
77.53569,300,659.775133
89.618614,300,659.77514
108.24525,300,659.775148
74.73456,300,659.775155
122.41971,300,735.304229
162.59898,300,735.304306
87.40196,300,735.304327
71.88165,300,735.30434
126.13798,300,735.304352
142.33316,300,735.304363
153.80237,300,735.304371
116.972046,300,735.304379
104.6609,300,807.937004
91.54872,300,807.937056
148.56163,300,807.937069
147.33252,300,807.937079
124.721306,300,807.937131
119.028824,300,807.937165
149.37411,300,807.937175
143.29465,300,807.937182
103.072716,300,876.163271
162.5351,300,876.16332
128.52525,300,876.16333
170.2752,300,876.163338
159.43129,300,876.163346
98.5201,300,876.163353
170.08636,300,876.16336
95.55143,300,876.163367
102.87806,300,944.437878
110.16076,300,944.437938
112.88919,300,944.437949
79.92137,300,944.437958
105.699265,300,944.437966
-57.639057,300,944.437973
63.717762,300,944.43798
126.421265,300,944.437987
101.78173,300,1012.02356
167.10245,300,1012.023614
92.382355,300,1012.023626
128.256,300,1012.023634
136.87505,300,1012.023642
154.79207,300,1012.023649
138.26044,300,1012.023656
158.38782,300,1012.023664
173.9799,300,1079.11884
148.74866,300,1079.118893
115.22299,300,1079.118905
117.99488,300,1079.118917
71.69703,300,1079.118924
131.95726,300,1079.118932
143.99974,300,1079.118939
170.98088,300,1079.118946
71.87134,300,1147.486413
144.5545,300,1147.486475
133.04797,300,1147.486487
122.32482,300,1147.486495
94.84625,300,1147.486502
122.14174,300,1147.48651
74.97943,300,1147.486517
103.891136,300,1147.486525
166.72897,300,1214.771291
138.58856,300,1214.771349
127.93582,300,1214.771362
141.25508,300,1214.77137
131.00452,300,1214.771379
103.10803,300,1214.771387
177.8359,300,1214.771395
138.3741,300,1214.771403
153.08112,300,1283.985286
139.59741,300,1283.98534
179.79526,300,1283.985352
104.59496,300,1283.98536
168.69069,300,1283.985367
122.066895,300,1283.985374
160.55466,300,1283.985381
142.43657,300,1283.985388
81.39984,300,1352.125015
74.150246,300,1352.125068
137.71663,300,1352.12508
113.26708,300,1352.125089
114.25809,300,1352.125098
185.02585,300,1352.125106
119.99235,300,1352.125114
117.883545,300,1352.125122
123.04828,300,1420.709516
84.8616,300,1420.70959
161.25388,300,1420.709608
156.82167,300,1420.709622
158.20062,300,1420.709634
88.68746,300,1420.709703
104.0591,300,1420.709718
123.38135,300,1420.70973
160.22968,300,1488.758379
176.3526,300,1488.75843
97.205246,300,1488.758441
158.87347,300,1488.758449
111.59165,300,1488.758456
91.171616,300,1488.758463
90.855705,300,1488.75847
188.90115,300,1488.758477
123.83624,300,1555.385922
101.71505,300,1555.385982
157.1252,300,1555.385994
103.02122,300,1555.386003
116.12294,300,1555.386011
113.00565,300,1555.386019
109.63404,300,1555.386027
113.3602,300,1555.386035
101.91863,300,1622.637141
171.02853,300,1622.6372
160.68968,300,1622.63721
97.87808,300,1622.637219
148.07256,300,1622.637227
103.199875,300,1622.637235
105.56257,300,1622.637243
169.2531,300,1622.637249
106.515816,300,1688.429895
90.94469,300,1688.429951
130.00941,300,1688.429965
148.02701,300,1688.429975
121.94997,300,1688.429983
66.97402,300,1688.429991
109.19186,300,1688.429999
148.39705,300,1688.430008
174.28317,300,1754.957491
145.81177,300,1754.957542
115.116325,300,1754.957553
67.43437,300,1754.957561
146.57184,300,1754.957569
126.88707,300,1754.957576
145.67938,300,1754.957583
173.63943,300,1754.95759
84.23401,300,1821.032334
145.22212,300,1821.032387
119.76083,300,1821.032397
141.29413,300,1821.032404
79.42046,300,1821.032411
139.73131,300,1821.032418
175.64659,300,1821.032424
118.03801,300,1821.032431
113.548965,300,1887.230484
164.53802,300,1887.230538
143.47095,300,1887.230551
117.53512,300,1887.230561
87.88389,300,1887.230571
112.74708,300,1887.23058
140.36421,300,1887.23059
138.21165,300,1887.230598
75.24752,300,1953.598501
118.7579,300,1953.59855
76.42743,300,1953.598561
110.367744,300,1953.598569
129.15144,300,1953.598577
78.12949,300,1953.598584
142.2755,300,1953.59859
146.52744,300,1953.598597
157.43556,300,2019.679755
161.89825,300,2019.679813
139.09673,300,2019.679823
141.49815,300,2019.67983
104.65404,300,2019.679838
61.552296,300,2019.679845
132.96873,300,2019.679853
146.64093,300,2019.67986
152.70662,300,2086.262163
154.78592,300,2086.262218
147.61174,300,2086.26223
127.56753,300,2086.262238
121.16298,300,2086.262245
142.95433,300,2086.262252
61.322113,300,2086.262259
105.28243,300,2086.262266
129.9566,300,2152.355844
118.36135,300,2152.355897
151.75159,300,2152.355908
88.0791,300,2152.355917
152.38728,300,2152.355925
134.47353,300,2152.355932
109.28654,300,2152.355939
107.89341,300,2152.355947
147.02242,300,2217.915288
172.396,300,2217.915338
67.52595,300,2217.915349
119.465256,300,2217.915356
122.46105,300,2217.915363
160.01155,300,2217.91537
126.32146,300,2217.915377
134.184,300,2217.915384
100.62289,300,2284.568389
123.473656,300,2284.56844
153.31313,300,2284.568451
146.5445,300,2284.56846
123.47017,300,2284.568468
155.62881,300,2284.568475
107.17757,300,2284.568482
132.17107,300,2284.568489
149.68898,300,2350.37597
166.30962,300,2350.376028
168.7386,300,2350.37604
120.91977,300,2350.376049
98.60008,300,2350.376057
138.77464,300,2350.376065
148.30983,300,2350.376073
141.43723,300,2350.376081
137.41165,300,2416.766341
170.00212,300,2416.766398
114.30493,300,2416.76641
162.724,300,2416.766419
87.20104,300,2416.766428
153.91937,300,2416.766436
133.0747,300,2416.766444
133.87305,300,2416.766452
87.51791,300,2482.827887
110.51401,300,2482.827942
147.66441,300,2482.827954
149.82118,300,2482.827962
111.643555,300,2482.82797
138.76146,300,2482.827978
131.9563,300,2482.827986
116.68981,300,2482.827994
191.77908,300,2548.602413
121.972244,300,2548.602466
129.18187,300,2548.602477
135.25638,300,2548.602484
138.57245,300,2548.60249
128.2738,300,2548.602498
96.44817,300,2548.602505
103.14658,300,2548.602512
61.642464,300,2615.225981
161.40118,300,2615.226043
100.09661,300,2615.226057
156.13559,300,2615.226067
143.89604,300,2615.226075
141.36272,300,2615.226084
96.11912,300,2615.226094
113.76598,300,2615.226103
72.92644,300,2681.902492
123.12319,300,2681.902557
112.43663,300,2681.902571
119.07884,300,2681.902581
81.8664,300,2681.90259
123.773865,300,2681.9026
56.78709,300,2681.90266
118.33637,300,2681.902673
147.1592,300,2747.028107
143.85913,300,2747.028162
184.28674,300,2747.028173
144.59946,300,2747.028181
141.46342,300,2747.028188
97.254265,300,2747.028194
138.97787,300,2747.028201
125.28343,300,2747.028207
145.28262,300,2811.897521
165.90509,300,2811.897574
157.39307,300,2811.897585
117.63275,300,2811.897592
122.644005,300,2811.897599
157.04343,300,2811.897607
181.26662,300,2811.897614
111.79645,300,2811.89762
